giorno,t[°C],err t,mm pioggia,err pioggia
1,37.05791513890581,0.1,0.7509670256126317,0.1485600088339294
2,17.37979712573778,0.1,1.587071554836665,0.19008048590128807
3,41.98860893761788,0.1,1.2217943283106374,0.542193763338649
4,32.426059680556705,0.1,0.7223696353408323,0.47676594346499557
5,37.62108601977527,0.1,1.6299061114191264,0.17479676197745814
6,36.724163718402835,0.1,1.416640553266422,0.7971752519050939
7,27.06243169853446,0.1,0.9499678516154356,0.500955676100686
8,11.181414573464586,0.1,1.477867168144937,0.31067501042421897
9,20.823548455717273,0.1,1.2658475727485488,0.7706844273924927
10,13.232549299224647,0.1,1.1276682191348022,0.8402674987928099
11,32.47692011539655,0.1,1.0204856320910676,0.0776572180939804
12,41.94366625379383,0.1,0.7317570694128208,0.651046332723234
13,30.76151631312321,0.1,0.7543303699807635,0.6462815043843163
14,31.801154994300607,0.1,1.3712095337057724,0.5898416905113611
15,29.971995328288422,0.1,1.0319497526884764,0.49959429236920083
16,23.59362259614251,0.1,1.3973962365649002,0.2879838976726343
17,21.08374325083126,0.1,1.233825717862284,0.6430991241854744
18,18.155426603655407,0.1,1.24915286385979,0.19926539481484234
19,37.31637668771508,0.1,1.7980972141710563,0.6857548362101309
20,9.22716482363959,0.1,0.3994328440397963,1.1313732093904396
21,17.00555655852395,0.1,1.5276481339701198,0.4227626550986393
22,40.23031109229699,0.1,1.2632641951259838,0.5353782951806596
23,48.49233492671016,0.1,0.6182703714194215,0.697989326272142
24,29.447357945713033,0.1,0.22021920867118494,0.5272178256687372
25,29.21697282722465,0.1,0.6115764510797517,0.6605506834468258
26,24.690384014658658,0.1,0.908235645654705,0.45638612644742155
27,40.35385351886227,0.1,0.8947374415604876,0.6637510700624504
28,28.048963025030755,0.1,0.4956635235201068,0.2843732650337184
29,19.533128810767728,0.1,1.4515969917797529,0.6795230916658507
30,32.859591367491554,0.1,0.4708545940937813,0.5174616901575182
